segment_id	segment_text
pli-tv-kd1:0.1	Theravāda Vinayapiṭaka
pli-tv-kd1:0.2	Mahāvagga
pli-tv-kd1:0.3	Mahākhandhaka
pli-tv-kd1:1.0.1	1. Bodhikathā
pli-tv-kd1:1.0.2	Namo tassa Bhagavato Arahato Sammāsambuddhassa.
pli-tv-kd1:1.1.1	Tena samayena buddho bhagavā uruvelāyaṁ viharati najjā nerañjarāya tīre bodhirukkhamūle paṭhamābhisambuddho.
pli-tv-kd1:1.1.2	Atha kho bhagavā bodhirukkhamūle sattāhaṁ ekapallaṅkena nisīdi vimuttisukhapaṭisaṁvedī.
pli-tv-kd1:1.2.1	Atha kho bhagavā rattiyā paṭhamaṁ yāmaṁ paṭiccasamuppādaṁ anulomapaṭilomaṁ manasākāsi—
pli-tv-kd1:1.2.2	“Avijjāpaccayā saṅkhārā, saṅkhārapaccayā viññāṇaṁ, viññāṇapaccayā nāmarūpaṁ, nāmarūpapaccayā saḷāyatanaṁ, saḷāyatanapaccayā phasso, phassapaccayā vedanā, vedanāpaccayā taṇhā, taṇhāpaccayā upādānaṁ, upādānapaccayā bhavo, bhavapaccayā jāti, jātipaccayā jarāmaraṇaṁ sokaparidevadukkhadomanassupāyāsā sambhavanti.
pli-tv-kd1:1.2.3	Evametassa kevalassa dukkhakkhandhassa samudayo hoti.
pli-tv-kd1:1.2.4	Avijjāya tveva asesavirāganirodhā saṅkhāranirodho, saṅkhāranirodhā viññāṇanirodho, viññāṇanirodhā nāmarūpanirodho, nāmarūpanirodhā saḷāyatananirodho, saḷāyatananirodhā phassanirodho, phassanirodhā vedanānirodho, vedanānirodhā taṇhānirodho, taṇhānirodhā upādānanirodho, upādānanirodhā bhavanirodho, bhavanirodhā jātinirodho, jātinirodhā jarāmaraṇaṁ sokaparidevadukkhadomanassupāyāsā nirujjhanti.
pli-tv-kd1:1.2.5	Evametassa kevalassa dukkhakkhandhassa nirodho hotī”ti.
pli-tv-kd1:1.3.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi—
pli-tv-kd1:1.3.2	“Yadā have pātubhavanti dhammā,
pli-tv-kd1:1.3.3	Ātāpino jhāyato brāhmaṇassa;
pli-tv-kd1:1.3.4	Athassa kaṅkhā vapayanti sabbā,
pli-tv-kd1:1.3.5	Yato pajānāti sahetudhamman”ti.
pli-tv-kd1:1.4.1	Atha kho bhagavā rattiyā majjhimaṁ yāmaṁ paṭiccasamuppādaṁ anulomapaṭilomaṁ manasākāsi—
pli-tv-kd1:1.4.2	“avijjāpaccayā saṅkhārā, saṅkhārapaccayā viññāṇaṁ, viññāṇapaccayā nāmarūpaṁ …pe…
pli-tv-kd1:1.4.3	evametassa kevalassa dukkhakkhandhassa samudayo hoti …pe…
pli-tv-kd1:1.4.4	nirodho hotī”ti.
pli-tv-kd1:1.5.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi—
pli-tv-kd1:1.5.2	“Yadā have pātubhavanti dhammā,
pli-tv-kd1:1.5.3	Ātāpino jhāyato brāhmaṇassa;
pli-tv-kd1:1.5.4	Athassa kaṅkhā vapayanti sabbā,
pli-tv-kd1:1.5.5	Yato khayaṁ paccayānaṁ avedī”ti.
pli-tv-kd1:1.6.1	Atha kho bhagavā rattiyā pacchimaṁ yāmaṁ paṭiccasamuppādaṁ anulomapaṭilomaṁ manasākāsi—
pli-tv-kd1:1.6.2	“avijjāpaccayā saṅkhārā, saṅkhārapaccayā viññāṇaṁ, viññāṇapaccayā nāmarūpaṁ …pe…
pli-tv-kd1:1.6.3	evametassa kevalassa dukkhakkhandhassa samudayo hoti …pe…
pli-tv-kd1:1.6.4	nirodho hotī”ti.
pli-tv-kd1:1.7.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi—
pli-tv-kd1:1.7.2	“Yadā have pātubhavanti dhammā,
pli-tv-kd1:1.7.3	Ātāpino jhāyato brāhmaṇassa;
pli-tv-kd1:1.7.4	Vidhūpayaṁ tiṭṭhati mārasenaṁ,
pli-tv-kd1:1.7.5	Sūriyova obhāsayamantalikkhan”ti.
pli-tv-kd1:1.7.6	Bodhikathā niṭṭhitā.
pli-tv-kd1:2.1.0	2. Ajapālakathā
pli-tv-kd1:2.1.1	Atha kho bhagavā sattāhassa accayena tamhā samādhimhā vuṭṭhahitvā bodhirukkhamūlā yena ajapālanigrodho tenupasaṅkami, upasaṅkamitvā ajapālanigrodhamūle sattāhaṁ ekapallaṅkena nisīdi vimuttisukhapaṭisaṁvedī.
pli-tv-kd1:2.2.1	Atha kho aññataro huṁhuṅkajātiko brāhmaṇo yena bhagavā tenupasaṅkami.
pli-tv-kd1:2.2.2	Upasaṅkamitvā bhagavatā saddhiṁ sammodi.
pli-tv-kd1:2.2.3	Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ aṭṭhāsi.
pli-tv-kd1:2.2.4	Ekamantaṁ ṭhito kho so brāhmaṇo bhagavantaṁ etadavoca—
pli-tv-kd1:2.2.5	“kittāvatā nu kho, bho gotama, brāhmaṇo hoti, katame ca pana brāhmaṇakaraṇā dhammā”ti?
pli-tv-kd1:2.3.1	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi—
pli-tv-kd1:2.3.2	“Yo brāhmaṇo bāhitapāpadhammo,
pli-tv-kd1:2.3.3	Nihuṁhuṅko nikkasāvo yatatto;
pli-tv-kd1:2.3.4	Vedantagū vusitabrahmacariyo,
pli-tv-kd1:2.3.5	Dhammena so brahmavādaṁ vadeyya;
pli-tv-kd1:2.3.6	Yassussadā natthi kuhiñci loke”ti.
pli-tv-kd1:2.3.7	Ajapālakathā niṭṭhitā.
pli-tv-kd1:3.1.0	3. Mucalindakathā
pli-tv-kd1:3.1.1	Atha kho bhagavā sattāhassa accayena tamhā samādhimhā vuṭṭhahitvā ajapālanigrodhamūlā yena mucalindo tenupasaṅkami, upasaṅkamitvā mucalindamūle sattāhaṁ ekapallaṅkena nisīdi vimuttisukhapaṭisaṁvedī.
pli-tv-kd1:3.2.1	Tena kho pana samayena mahā akālamegho udapādi, sattāhavaddalikā sītavātaduddinī.
pli-tv-kd1:3.2.2	Atha kho mucalindo nāgarājā sakabhavanā nikkhamitvā bhagavato kāyaṁ sattakkhattuṁ bhogehi parikkhipitvā uparimuddhani mahantaṁ phaṇaṁ karitvā aṭṭhāsi—
pli-tv-kd1:3.2.3	“mā bhagavantaṁ sītaṁ, mā bhagavantaṁ uṇhaṁ, mā bhagavantaṁ ḍaṁsamakasavātātapasarīsapasamphasso”ti.
pli-tv-kd1:3.3.1	Atha kho mucalindo nāgarājā sattāhassa accayena viddhaṁ vigatavalāhakaṁ devaṁ viditvā bhagavato kāyā bhoge viniveṭhetvā sakavaṇṇaṁ paṭisaṁharitvā māṇavakavaṇṇaṁ abhinimminitvā bhagavato purato aṭṭhāsi pañjaliko bhagavantaṁ namassamāno.
pli-tv-kd1:3.3.2	Atha kho bhagavā etamatthaṁ viditvā tāyaṁ velāyaṁ imaṁ udānaṁ udānesi—
pli-tv-kd1:3.4.1	“Sukho viveko tuṭṭhassa,
