segment_id	segment_text	comment_text
pli-tv-kd1:0.1	Theravāda Collection on Monastic Law	NA
pli-tv-kd1:0.2	The Great Division	NA
pli-tv-kd1:0.3	The great chapter	NA
pli-tv-kd1:1.0.1	1. The account with the Bodhi tree	NA
pli-tv-kd1:1.0.2	Homage to the Buddha, the Perfected One, the fully Awakened One	NA
pli-tv-kd1:1.1.1	Soon after his awakening, the Buddha was staying at Uruvelā on the bank of the river Nerañjara at the foot of a Bodhi tree.	NA
pli-tv-kd1:1.1.2	There the Buddha sat cross-legged for seven days without moving, experiencing the bliss of freedom.	NA
pli-tv-kd1:1.2.1	Then, in the first part of the night, the Buddha reflected on dependent origination in forward and reverse order:	NA
pli-tv-kd1:1.2.2	“Ignorance is the condition for intentional activities; intentional activities are the condition for consciousness; consciousness is the condition for name and form; name and form are the condition for the six sense spheres; the six sense spheres are the condition for contact; contact is the condition for feeling; feeling is the condition for craving; craving is the condition for grasping; grasping is the condition for existence; existence is the condition for birth; birth is the condition for old age and death, for grief, sorrow, pain, aversion, and distress to come to be.	NA
pli-tv-kd1:1.2.3	This is how there is the origin of this whole mass of suffering.	NA
pli-tv-kd1:1.2.4	But with the complete fading away and end of ignorance comes the end of intentional activities; with the end of intentional activities comes the end of consciousness; with the end of consciousness comes the end of name and form; with the end of name and form comes the end of the six sense spheres; with the end of the six sense spheres comes the end of contact; with the end of contact comes the end of feeling; with the end of feeling comes the end of craving; with the end of craving comes the end of grasping; with the end of grasping comes the end of existence; with the end of existence comes the end of birth; with the end of birth comes the end of old age and death, and the end of sorrow, lamentation, pain, aversion, and distress.	NA
pli-tv-kd1:1.2.5	This is how there is the end of this whole mass of suffering.”	NA
pli-tv-kd1:1.3.1	Seeing the significance of this, the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:1.3.2	“When things become clear	NA
pli-tv-kd1:1.3.3	To the energetic brahmin who practices absorption,	NA
pli-tv-kd1:1.3.4	Then all his doubts are dispelled,	NA
pli-tv-kd1:1.3.5	Since he understands the natural order and its conditions.”	NA
pli-tv-kd1:1.4.1	In the middle part of the night, the Buddha again reflected on dependent origination in forward and reverse order:	NA
pli-tv-kd1:1.4.2	“Ignorance is the condition for intentional activities; intentional activities are the condition for consciousness; consciousness is the condition for name and form …	NA
pli-tv-kd1:1.4.3	This is how there is the origin of this whole mass of suffering. …	NA
pli-tv-kd1:1.4.4	This is how there is the end of this whole mass of suffering.”	NA
pli-tv-kd1:1.5.1	Seeing the significance of this, the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:1.5.2	“When things become clear	NA
pli-tv-kd1:1.5.3	To the energetic brahmin who practices absorption,	NA
pli-tv-kd1:1.5.4	Then all his doubts are dispelled,	NA
pli-tv-kd1:1.5.5	Since he’s understood the end of the conditions.”	NA
pli-tv-kd1:1.6.1	In the last part of the night, the Buddha again reflected on dependent origination in forward and reverse order:	NA
pli-tv-kd1:1.6.2	“Ignorance is the condition for intentional activities; intentional activities are the condition for consciousness; consciousness is the condition for name and form …	NA
pli-tv-kd1:1.6.3	This is how there is the origin of this whole mass of suffering. …	NA
pli-tv-kd1:1.6.4	This is how there is the end of this whole mass of suffering.”	NA
pli-tv-kd1:1.7.1	Seeing the significance of this, the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:1.7.2	“When things become clear	NA
pli-tv-kd1:1.7.3	To the energetic brahmin who practices absorption,	NA
pli-tv-kd1:1.7.4	He defeats the army of the Lord of Death,	NA
pli-tv-kd1:1.7.5	Like the sun beaming in the sky.”	NA
pli-tv-kd1:1.7.6	The account with the Bodhi tree is finished.	NA
pli-tv-kd1:2.1.0	2. The account with the goatherd’s banyan tree	NA
pli-tv-kd1:2.1.1	After seven days, the Buddha came out from that stillness and went from the Bodhi tree to a goatherd’s banyan tree. There too he sat cross-legged for seven days without moving, experiencing the bliss of freedom.	NA
pli-tv-kd1:2.2.1	Then a brahmin devoted to mystical mantras went up to the Buddha,	According to Bhikkhu Sujato’s notes to the parallel verse at [Ud 1.4](ud1.4:4.1), _huṁhuṅkajātika brāhmaṇa_ refers to a brahmin who utters the syllable _huṁ_. In the Chāndogya Upaniṣad, this syllable, like the syllable _om_, had a ritualistic purpose with mystical connotations. In the verse below, “the brahmin … who does not murmur mystical mantras”, _brāhmaṇa … nihuṁhuṅka_, is intended to capture the idea that a true brahmin, a perfected individual, does not utter such syllables. See https://discourse.suttacentral.net/t/on-the-brahmin-who-said-hu.
pli-tv-kd1:2.2.2	exchanged pleasantries with him,	NA
pli-tv-kd1:2.2.4	and said,	NA
pli-tv-kd1:2.2.5	“Good Gotama, how is one a brahmin? What are the qualities that make one a brahmin?”	NA
pli-tv-kd1:2.3.1	Seeing the significance of this, the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:2.3.2	“The brahmin who has shut out bad qualities,	NA
pli-tv-kd1:2.3.3	Who does not murmur mystical mantras, but is free from flaws and self-controlled,	NA
pli-tv-kd1:2.3.4	Who has reached final knowledge and has fulfilled the spiritual life—	NA
pli-tv-kd1:2.3.5	He may rightly proclaim the highest doctrine,	Bhikkhu Sujato notes that the phrase _brahmavāda_ only occurs at [Ud 1.4](ud1.4:4.4) and here in the entire Pali Canon. It does occur, however, in pre-Buddhist Vedic texts in the meaning “orthodox Vedic doctrine” (Atharva Veda 11.3.26a, 15.1.8a; Bṛhadāraṇyaka Upaniṣad 14.7.3.1; Chāndogya Upaniṣad 2.24.1). To accord with the Buddhist teachings, the Buddha normally reinterprets the word _brahma_ as “the highest”, and I expect this is the case also here.
pli-tv-kd1:2.3.6	Having no pride about anything in the world.”	NA
pli-tv-kd1:2.3.7	The account with the goatherd’s banyan tree is finished.	NA
pli-tv-kd1:3.1.0	3. The account with the powderpuff tree	NA
pli-tv-kd1:3.1.1	After seven days, the Buddha came out from that stillness and went from the goatherd’s banyan tree to a powderpuff tree. There too he sat cross-legged for seven days without moving, experiencing the bliss of freedom.	According to SAF, pp. 85-86, _mucalinda_ is a _Barringtonia racemosa_, sometimes known as a “powder-puff tree”.
pli-tv-kd1:3.2.1	Just then an unseasonal storm was approaching, bringing seven days of rain, cold winds, and clouds.	NA
pli-tv-kd1:3.2.2	Mucalinda, the dragon king, came out from his abode. He encircled the body of the Buddha with seven coils and spread his large hood over his head, thinking,	NA
pli-tv-kd1:3.2.3	“May the Buddha not be hot or cold, nor be bothered by horseflies or mosquitoes, by the wind or the burning sun, or by creeping animals or insects.”	NA
pli-tv-kd1:3.3.1	After seven days, when he knew the sky was clear, Mucalinda unraveled his coils from the Buddha’s body and transformed himself into a young brahmin. He then stood in front of the Buddha, raising his joined palms in veneration.	NA
pli-tv-kd1:3.3.2	Seeing the significance of this, the Buddha uttered a heartfelt exclamation:	NA
pli-tv-kd1:3.4.1	“Seclusion is bliss for the contented	NA
pli-tv-kd1:3.4.2	Who sees the Teaching that they have learned.	NA
pli-tv-kd1:3.4.3	Kindness to the world is happiness,	NA
pli-tv-kd1:3.4.4	For one who’s harmless to living beings.	NA
pli-tv-kd1:3.4.5	Dispassion for the world is happiness,	NA
pli-tv-kd1:3.4.6	For one who overcomes worldly pleasures.	NA
pli-tv-kd1:3.4.7	But removing the conceit ‘I am’,	NA
pli-tv-kd1:3.4.8	This, indeed, is the highest bliss.”	NA
pli-tv-kd1:3.4.9	The account with the powderpuff tree is finished.	NA
pli-tv-kd1:4.1.0	4. The account with the ape-flower tree	NA
pli-tv-kd1:4.1.1	After seven days, the Buddha came out from that stillness and went from the powderpuff tree to an ape-flower tree. There too he sat cross-legged for seven days without moving, experiencing the bliss of freedom.	According to SAF, p. 72, _rājāyatana_ is a _Buchanania axillaris_, sometimes known as an “ape-flower tree”.
pli-tv-kd1:4.2.1	Just then the merchants Tapussa and Bhallika were traveling from Ukkalā to that area.	NA
pli-tv-kd1:4.2.2	Then a god who was a former relative of theirs said to them,	NA
pli-tv-kd1:4.2.3	“Sirs, a Buddha who has just attained awakening is staying at the foot of an ape-flower tree.	NA
pli-tv-kd1:4.2.4	Go to that Buddha and offer him crackers and honey.	“Crackers” renders _mantha_. See discussion in Appendix of Technical Terms.
pli-tv-kd1:4.2.5	That will be for your benefit and happiness for a long time.”	NA
pli-tv-kd1:4.3.1	And they took crackers and honey and went to the Buddha. They bowed down	NA
pli-tv-kd1:4.3.2	and said,	NA
pli-tv-kd1:4.3.3	“Sir, please accept the crackers and honey from us. That will be for our benefit and happiness for a long time.”	NA
pli-tv-kd1:4.4.1	The Buddha thought,	NA
pli-tv-kd1:4.4.2	“Buddhas don’t receive with their hands.	NA
pli-tv-kd1:4.4.3	In what should I receive the crackers and honey?”	NA
pli-tv-kd1:4.4.4	Then, reading the mind of the Buddha, the four great kings offered him four crystal bowls from the four directions, saying,	NA
pli-tv-kd1:4.4.5	“Here, sir, please receive the crackers and honey in these.”	NA
pli-tv-kd1:4.4.6	After receiving the crackers and honey in one of the valuable crystal bowls, the Buddha ate them.	NA
pli-tv-kd1:4.5.1	When Tapussa and Bhallika knew that the Buddha had finished his meal, they bowed down with their heads at his feet, and said,	NA
pli-tv-kd1:4.5.2	“Sir, we go for refuge to the Buddha and the Teaching. Please accept us as lay followers who have gone for refuge for life.”	NA
pli-tv-kd1:4.5.3	By means of the double refuge, they became the first lay followers in the world.	NA
pli-tv-kd1:4.5.4	The account with the ape-flower tree is finished.	NA
pli-tv-kd1:5.1.0	5. The account of the supreme being’s request	NA
pli-tv-kd1:5.1.1	After seven days, the Buddha came out from that stillness and went from the ape-flower tree to a goatherd’s banyan tree,	NA
pli-tv-kd1:5.1.2	and he stayed there.	NA
pli-tv-kd1:5.2.1	Then, while reflecting in private, the Buddha thought this:	NA
pli-tv-kd1:5.2.2	“I have discovered this profound truth, so hard to see, so hard to comprehend. It’s peaceful and sublime, subtle, beyond the intellect, and knowable only to the wise.	NA
pli-tv-kd1:5.2.3	But human beings delight in holding on, find pleasure in holding on, rejoice in holding on,	NA
pli-tv-kd1:5.2.4	and because of that it’s hard for them to see causal relationships, dependent origination.	NA
pli-tv-kd1:5.2.5	This too is very hard for them to see: the stilling of all intentional activities, the giving up of all ownership, the stopping of craving, fading away, ending, extinguishment.	NA
pli-tv-kd1:5.2.6	If I were to teach this truth, others would not understand, and that would be wearying and troublesome for me.”	NA
pli-tv-kd1:5.3.1	And spontaneously, these verses never heard before occurred to the Buddha:	NA
pli-tv-kd1:5.3.2	“What I’ve discovered with difficulty,	NA
pli-tv-kd1:5.3.3	There’s no point in making it known.	NA
pli-tv-kd1:5.3.4	For those overcome by sensual desire and ill will,	NA
pli-tv-kd1:5.3.5	This truth is hard to understand.	NA
pli-tv-kd1:5.3.6	Those who are excited by sensual desire,	NA
pli-tv-kd1:5.3.7	Obstructed by a mass of darkness,	NA
pli-tv-kd1:5.3.8	Won’t see what goes against the stream,	NA
pli-tv-kd1:5.3.9	What’s subtle and refined, profound and hard to see.”	NA
pli-tv-kd1:5.4.1	When the Buddha reflected like this, he inclined to inactivity, not to teaching.	NA
pli-tv-kd1:5.4.2	Just then the supreme being Sahampati read the mind of the Buddha. He thought,	NA
pli-tv-kd1:5.4.3	“The world is lost; it’s perished!—for the Buddha, perfected and fully awakened, inclines to inaction, not to teaching.”	NA
pli-tv-kd1:5.5.1	Then, just as a strong man might bend or stretch his arm, Sahampati disappeared from the world of supreme beings and appeared in front of the Buddha.	NA
pli-tv-kd1:5.6.1	He arranged his upper robe over one shoulder, placed his right knee on the ground, raised his joined palms, and said,	NA
pli-tv-kd1:5.6.2	“Please teach, sir, please teach!	NA
pli-tv-kd1:5.6.3	There are beings with little dust in their eyes who are ruined because of not hearing the Teaching. There will be those who understand.”	NA
pli-tv-kd1:5.7.1	This is what Sahampati said, and he added:	NA
pli-tv-kd1:5.7.2	“Earlier, among the Magadhans,	NA
pli-tv-kd1:5.7.3	An impure teaching appeared, conceived by defiled people.	NA
pli-tv-kd1:5.7.4	Open this door to the freedom from death!	NA
pli-tv-kd1:5.7.5	Let them hear the Teaching, discovered by the Pure One.	NA
pli-tv-kd1:5.7.6	Just as one standing on a rocky mountain top	NA
pli-tv-kd1:5.7.7	Would see the people all around,	NA
pli-tv-kd1:5.7.8	Just so, All-seeing Wise One,	NA
pli-tv-kd1:5.7.9	Ascend the temple of the Truth.	NA
pli-tv-kd1:5.7.10	Being rid of sorrow, look upon the people,	NA
pli-tv-kd1:5.7.11	Sunk in grief, overcome by birth and old age.	NA
pli-tv-kd1:5.7.12	Stand up, Victorious Hero!	NA
pli-tv-kd1:5.7.13	Leader of travelers, wander the world without obligation.	NA
pli-tv-kd1:5.7.14	Sir, proclaim the Teaching;	NA
pli-tv-kd1:5.7.15	There will be those who understand.”	NA
pli-tv-kd1:5.8.1	Twice the Buddha repeated to Sahampati what he had thought, and on both occasions Sahampati repeated his request.	NA
pli-tv-kd1:5.10.1	The Buddha understood the request of that supreme being. Then, with the eye of a Buddha, he surveyed the world out of compassion for sentient beings.	NA
