segment_id	segment_text
pli-tv-pvr1.1:0.1	Parivāra
pli-tv-pvr1.1:0.2	Bhikkhuvibhaṅga
pli-tv-pvr1.1:0.3	Paṭhamabhāga
pli-tv-pvr1.1:0.4	Katthapaññattivāra
pli-tv-pvr1.1:0.5	1. Pārājikakaṇḍa
pli-tv-pvr1.1:1.1	Namo tassa Bhagavato Arahato Sammāsambuddhassa.
pli-tv-pvr1.1:2.1	Yaṁ tena bhagavatā jānatā passatā arahatā sammāsambuddhena paṭhamaṁ pārājikaṁ kattha paññattaṁ, kaṁ ārabbha, kismiṁ vatthusmiṁ?
pli-tv-pvr1.1:2.2	Atthi tattha paññatti, anupaññatti, anuppannapaññatti?
pli-tv-pvr1.1:2.3	Sabbatthapaññatti, padesapaññatti?
pli-tv-pvr1.1:2.4	Sādhāraṇapaññatti, asādhāraṇapaññatti?
pli-tv-pvr1.1:2.5	Ekatopaññatti, ubhatopaññatti?
pli-tv-pvr1.1:2.6	Pañcannaṁ pātimokkhuddesānaṁ katthogadhaṁ kattha pariyāpannaṁ?
pli-tv-pvr1.1:2.7	Katamena uddesena uddesaṁ āgacchati?
pli-tv-pvr1.1:2.8	Catunnaṁ vipattīnaṁ katamā vipatti?
pli-tv-pvr1.1:2.9	Sattannaṁ āpattikkhandhānaṁ katamo āpattikkhandho?
pli-tv-pvr1.1:2.10	Channaṁ āpattisamuṭṭhānānaṁ katihi samuṭṭhānehi samuṭṭhāti?
pli-tv-pvr1.1:2.11	Catunnaṁ adhikaraṇānaṁ katamaṁ adhikaraṇaṁ?
pli-tv-pvr1.1:2.12	Sattannaṁ samathānaṁ katihi samathehi sammati?
pli-tv-pvr1.1:2.13	Ko tattha vinayo, ko tattha abhivinayo?
pli-tv-pvr1.1:2.14	Kiṁ tattha pātimokkhaṁ, kiṁ tattha adhipātimokkhaṁ?
pli-tv-pvr1.1:2.15	Kā vipatti?
pli-tv-pvr1.1:2.16	Kā sampatti?
pli-tv-pvr1.1:2.17	Kā paṭipatti?
pli-tv-pvr1.1:2.18	Kati atthavase paṭicca bhagavatā paṭhamaṁ pārājikaṁ paññattaṁ?
pli-tv-pvr1.1:2.19	Ke sikkhanti?
pli-tv-pvr1.1:2.20	Ke sikkhitasikkhā?
pli-tv-pvr1.1:2.21	Kattha ṭhitaṁ?
pli-tv-pvr1.1:2.22	Ke dhārenti?
pli-tv-pvr1.1:2.23	Kassa vacanaṁ?
pli-tv-pvr1.1:2.24	Kenābhatanti?
pli-tv-pvr1.1:3.1	Yaṁ tena bhagavatā jānatā passatā arahatā sammāsambuddhena paṭhamaṁ pārājikaṁ kattha paññattanti?
pli-tv-pvr1.1:3.2	Vesāliyaṁ paññattaṁ.
pli-tv-pvr1.1:3.3	Kaṁ ārabbhāti?
pli-tv-pvr1.1:3.4	Sudinnaṁ kalandaputtaṁ ārabbha.
pli-tv-pvr1.1:3.5	Kismiṁ vatthusminti?
pli-tv-pvr1.1:3.6	Sudinno kalandaputto purāṇadutiyikāya methunaṁ dhammaṁ paṭisevi, tasmiṁ vatthusmiṁ.
pli-tv-pvr1.1:3.7	Atthi tattha paññatti, anupaññatti, anuppannapaññattīti?
pli-tv-pvr1.1:3.8	Ekā paññatti, dve anupaññattiyo.
pli-tv-pvr1.1:3.9	Anuppannapaññatti tasmiṁ natthi.
pli-tv-pvr1.1:3.10	Sabbatthapaññatti, padesapaññattīti?
pli-tv-pvr1.1:3.11	Sabbatthapaññatti.
pli-tv-pvr1.1:3.12	Sādhāraṇapaññatti, asādhāraṇapaññattīti?
pli-tv-pvr1.1:3.13	Sādhāraṇapaññatti.
pli-tv-pvr1.1:3.14	Ekatopaññatti, ubhatopaññattīti?
pli-tv-pvr1.1:3.15	Ubhatopaññatti.
