segment_id	segment_text
pli-tv-bi-vb-as1:0.1	Theravāda Vinaya
pli-tv-bi-vb-as1:0.2	Bhikkhunivibhaṅga
pli-tv-bi-vb-as1:0.3	Adhikaraṇasamatha
pli-tv-bi-vb-as1:1.1	Ime kho panāyyāyo satta adhikaraṇasamathā dhammā uddesaṁ āgacchanti.
pli-tv-bi-vb-as1:2.1	Uppannuppannānaṁ adhikaraṇānaṁ samathāya vūpasamāya
pli-tv-bi-vb-as1:2.2	sammukhāvinayo dātabbo,
pli-tv-bi-vb-as2:1.1	sativinayo dātabbo,
pli-tv-bi-vb-as3:1.1	amūḷhavinayo dātabbo,
pli-tv-bi-vb-as4:1.1	paṭiññāya kāretabbaṁ,
pli-tv-bi-vb-as5:1.1	yebhuyyasikā,
pli-tv-bi-vb-as6:1.1	tassapāpiyasikā,
pli-tv-bi-vb-as7:1.1	tiṇavatthārakoti.
pli-tv-bi-vb-as7:2.1	Uddiṭṭhā kho, ayyāyo, satta adhikaraṇasamathā dhammā.
pli-tv-bi-vb-as7:2.2	Tatthāyyāyo pucchāmi—
pli-tv-bi-vb-as7:2.3	“kaccittha parisuddhā”?
pli-tv-bi-vb-as7:2.4	Dutiyampi pucchāmi—
pli-tv-bi-vb-as7:2.5	“kaccittha parisuddhā”?
pli-tv-bi-vb-as7:2.6	Tatiyampi pucchāmi—
pli-tv-bi-vb-as7:2.7	“kaccittha parisuddhā”?
pli-tv-bi-vb-as7:2.8	Parisuddhetthāyyāyo, tasmā tuṇhī, evametaṁ dhārayāmīti.
pli-tv-bi-vb-as7:3.1	Adhikaraṇasamathā niṭṭhitā.
pli-tv-bi-vb-as7:4.1	Uddiṭṭhaṁ kho, ayyāyo, nidānaṁ.
pli-tv-bi-vb-as7:4.2	Uddiṭṭhā aṭṭha pārājikā dhammā.
pli-tv-bi-vb-as7:4.3	Uddiṭṭhā sattarasa saṅghādisesā dhammā.
pli-tv-bi-vb-as7:4.4	Uddiṭṭhā tiṁsa nissaggiyā pācittiyā dhammā.
pli-tv-bi-vb-as7:4.5	Uddiṭṭhā chasaṭṭhisatā pācittiyā dhammā.
pli-tv-bi-vb-as7:4.6	Uddiṭṭhā aṭṭha pāṭidesanīyā dhammā.
pli-tv-bi-vb-as7:4.7	Uddiṭṭhā sekhiyā dhammā.
pli-tv-bi-vb-as7:4.8	Uddiṭṭhā satta adhikaraṇasamathā dhammā.
pli-tv-bi-vb-as7:4.9	Ettakaṁ tassa bhagavato suttāgataṁ suttapariyāpannaṁ anvaddhamāsaṁ uddesaṁ āgacchati.
pli-tv-bi-vb-as7:4.10	Tattha sabbāheva samaggāhi sammodamānāhi avivadamānāhi sikkhitabbanti.
pli-tv-bi-vb-as7:4.11	Bhikkhunivibhaṅgo niṭṭhito.
pli-tv-bi-vb-as7:5.1	Pācittiyapāḷi niṭṭhitā.
pli-tv-bi-vb-np1:0.1	Theravāda Vinaya
pli-tv-bi-vb-np1:0.2	Bhikkhunivibhaṅga
pli-tv-bi-vb-np1:0.3	Nissaggiyakaṇḍa
pli-tv-bi-vb-np1:0.4	Pattavagga
pli-tv-bi-vb-np1:0.5	1. Pattasannicayasikkhāpada
pli-tv-bi-vb-np1:0.6	Ime kho panāyyāyo tiṁsa nissaggiyā pācittiyā dhammā uddesaṁ āgacchanti.
pli-tv-bi-vb-np1:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.
pli-tv-bi-vb-np1:1.2	Tena kho pana samayena chabbaggiyā bhikkhuniyo bahū patte sannicayaṁ karonti.
pli-tv-bi-vb-np1:1.3	Manussā vihāracārikaṁ āhiṇḍantā passitvā ujjhāyanti khiyyanti vipācenti—
